id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
utah_bto,,United States,August,Utah,bto,Utah,2018,2018-08-01,,state,"Utah, United States",39.4225192,-111.7143584
utah_bts,,United States,March,Utah,bts,Utah,2018,2018-03-01,,state,"Utah, United States",39.4225192,-111.7143584
utah_icon,,United States,January,Utah,icon,Utah,2012,2012-01-01,,state,"Utah, United States",39.4225192,-111.7143584
utah_yah,,United States,April,Utah,yah,Utah,2013,2013-04-01,,state,"Utah, United States",39.4225192,-111.7143584
utrecht_icon,Utrecht,Netherlands,January,Utrecht,icon,,2012,2012-01-01,Utrecht,city,"Utrecht, Netherlands",52.0809856,5.12768396945229
utrecht_yah,Utrecht,Netherlands,January,Utrecht,yah,,2018,2018-01-01,Utrecht,city,"Utrecht, Netherlands",52.0809856,5.12768396945229
vail_yah,Vail,United States,March,Vail,yah,Colorado,2013,2013-03-01,Vail,city,"Vail, Colorado, United States",39.6426439,-106.3862088
valencia_icon,Valencia,Spain,January,Valencia,icon,,2009,2009-01-01,Valencia,city,"Valencia, Spain",39.4699014,-0.3759513
valencia_yah,Valencia,Spain,August,Valencia,yah,,2019,2019-08-01,Valencia,city,"Valencia, Spain",39.4699014,-0.3759513
valparaiso_bts,Valparaiso,Chile,December,Valparaíso,bts,,2018,2018-12-01,Valparaiso,city,"Valparaiso, Chile",-33.0458456,-71.6196749
vancouver_bto,Vancouver,Canada,August,Vancouver,bto,British Columbia,2018,2018-08-01,Vancouver,city,"Vancouver, British Columbia, Canada",49.2608724,-123.1139529
vancouver_bts,Vancouver,Canada,May,Vancouver,bts,British Columbia,2018,2018-05-01,Vancouver,city,"Vancouver, British Columbia, Canada",49.2608724,-123.1139529
vancouver_icon,Vancouver,Canada,January,Vancouver,icon,British Columbia,2009,2009-01-01,Vancouver,city,"Vancouver, British Columbia, Canada",49.2608724,-123.1139529
vancouver_island_bts,,Canada,June,Vancouver Island,bts,British Columbia,2018,2018-06-01,,state,"British Columbia, Canada",55.001251,-125.002441
vancouver_island_icon,,Canada,January,Vancouver Island,icon,British Columbia,2009,2009-01-01,,state,"British Columbia, Canada",55.001251,-125.002441
vancouver_island_yah,,Canada,April,Vancouver Island,yah,British Columbia,2013,2013-04-01,,state,"British Columbia, Canada",55.001251,-125.002441
vancouver_yah,Vancouver,Canada,April,Vancouver,yah,British Columbia,2013,2013-04-01,Vancouver,city,"Vancouver, British Columbia, Canada",49.2608724,-123.1139529
vancouver_yaho,Vancouver,Canada,February,Vancouver,yaho,British Columbia,2017,2017-02-01,Vancouver,city,"Vancouver, British Columbia, Canada",49.2608724,-123.1139529
